stockcode,description,total_sales
22381,toy tidy pink polkadot,7433.74
84836,zinc metal heart decoration,7418.07
22741,funky diva pen,7363.86
23382,box of 6 christmas cake decorations,7356.18
21169,you're confusing me metal sign,7301.77
84030e,english rose hot water bottle,7292.45
23083,set 6 paper table lantern stars,7250.900000000001
23240,set of 4 knick knack tins doiley,7248.79
20969,red floral feltcraft shoulder bag,7229.43
22631,circus parade lunch box,7199.57
22485,set of 2 wooden market crates,7190.349999999999
22767,triple photo frame cornice,7173.55
22634,childs breakfast set spaceboy,7161.3
21787,rain poncho retrospot,7161.099999999999
22553,plasters in tin skulls,7132.12
22637,piggy bank retrospot,7111.18
22834,hand warmer babushka design,7105.33
21669,blue stripe ceramic drawer knob,7091.15
22505,memo board cottage design,7084.42
21259,victorian sewing box small,7077.2
22950,36 doilies vintage christmas,7060.28
23320,giant 50's christmas cracker,7053.57
22663,jumbo bag dolly girl design,7051.2
c2,carriage,7051.0
21912,vintage snakes & ladders,7047.7
22333,retrospot party bag + sticker set,7043.94
23215,jingle bell heart antique silver,7038.400000000001
22946,wooden advent calendar cream,7030.22
23293,set of 12 fairy cake baking cases,6989.54
22839,3 tier cake tin green and cream,6981.67
22170,picture frame wood triple portrait,6977.6
21922,union stripe with fringe  hammock,6944.360000000001
21165,beware of the cat metal sign,6935.7
21094,set/6 red spotty paper plates,6933.259999999999
21877,home sweet home mug,6932.78
22109,full english breakfast plate,6921.15
85014a,black/blue polkadot umbrella,6904.04
22840,round cake tin vintage red,6903.79
21257,victorian sewing box medium,6901.42
21326,aged glass silver t-light holder,6859.27
22580,advent calendar gingham sack,6848.1900000000005
84970l,single heart zinc t-light holder,6830.5
75049l,large circular mirror mobile,6812.98
22294,heart filigree dove  small,6805.08
23297,set 40 heart shape petit four cases,6792.23
22620,4 traditional spinning tops,6782.21
21672,white spot red ceramic drawer knob,6776.0
23541,wall art classic puddings,6762.71
22943,christmas lights 10 vintage baubles,6755.47
23254,childrens cutlery dolly girl,6753.71
47591d,pink fairy cake childrens apron,6724.69
23008,dolly girl baby gift set,6719.61
23480,mini lights woodland mushrooms,6719.14
23247,biscuit tin 50's christmas,6681.25
21871,save the planet mug,6679.56
22668,pink baby bunting,6677.97
84988,set of 72 pink heart paper doilies,6671.25
21888,bingo set,6659.54
21533,retrospot large milk jug,6651.72
20718,red retrospot shopper bag,6604.29
23229,vintage donkey tail game,6550.17
84992,72 sweetheart fairy cake cases,6532.78
22508,doorstop retrospot heart,6525.88
84997b,red 3 piece retrospot cutlery set,6494.66
21122,set/10 pink polkadot party candles,6488.54
23311,vintage christmas stocking,6488.2
22141,christmas craft tree top angel,6463.79
84946,antique silver tea glass etched,6461.76
23103,jingle bell heart decoration,6459.16
82486,3 drawer antique white wood cabinet,6457.94
23553,landmark frame camden town,6444.65
22804,candleholder pink hanging heart,6438.79
23134,large zinc heart wall organiser,6431.110000000001
22635,childs breakfast set dolly girl,6412.33
23571,traditional naughts & crosses,6406.91
22979,pantry washing up brush,6391.82
20676,red retrospot bowl,6374.81
23307,set of 60 pantry design cake cases,6371.889999999999
22784,lantern cream gazebo,6360.99
23172,regency tea plate pink,6344.41
22303,coffee mug apples design,6338.25
22895,set of 2 tea towels apple and pears,6334.3
22151,place setting white heart,6322.21
21154,red retrospot oven glove,6320.51
21380,wooden happy birthday garland,6307.51
21935,suki  shoulder bag,6298.61
22826,love seat antique white metal,6210.0
23169,classic glass cookie jar,6183.39
23192,bundle of 3 alphabet exercise books,6114.24
21975,pack of 60 dinosaur cake cases,6102.51
23118,parisienne jewellery drawer,6102.18
21156,retrospot childrens apron,6091.099999999999
21670,blue spot ceramic drawer knob,6083.99
21671,red spot ceramic drawer knob,6054.79
47556b,tea time tea towels,6045.0
21673,white spot blue ceramic drawer knob,6041.2
23534,wall art stop for tea,6036.2
22366,doormat airmail,6034.9
17003,brocade ring purse,6025.95
48129,doormat topiary,6009.84
21535,red retrospot small milk jug,5986.01
23296,set of 6 tea time baking cases,5985.55
22174,photo cube,5978.78
23312,vintage christmas gift sack,5964.150000000001
22783,set 3 wicker oval baskets w lids,5961.25
23535,wall art bicycle safety,5954.15
23052,recycled acapulco mat turquoise,5949.34
22150,3 stripey mice feltcraft,5907.84
23113,pantry chopping board,5868.5
22971,queens guard coffee mug,5849.29
23485,botanical gardens wall clock,5843.92
23154,set of 4 jam jar magnets,5842.88
22207,frying pan union flag,5833.59
22751,feltcraft princess olivia doll,5801.47
22740,polkadot pen,5793.62
22779,wooden owls light garland,5789.85
22796,photo frame 3 classic hanging,5787.45
22365,doormat respectable house,5754.03
62018,sombrero,5716.85
21242,red retrospot plate,5699.71
22646,ceramic strawberry cake money bank,5684.17
22907,pack of 20 napkins pantry design,5670.0
22088,paper bunting coloured lace,5661.05
22837,hot water bottle babushka,5620.7300000000005
22418,10 colour spaceboy pen,5585.45
22488,natural slate rectangle chalkboard,5573.68
22798,antique glass dressing table pot,5561.3
21558,skull lunch box with cutlery,5550.22
23531,wall art big love,5538.26
23133,large ivory heart wall organiser,5525.4
23177,treasure island book box,5521.29
84997d,pink 3 piece polkadot cutlery set,5520.02
23158,set of 5 lucky cat magnets,5513.83
22429,enamel measuring jug cream,5507.18
23583,lunch bag paisley park,5497.33
22464,hanging metal heart lantern,5485.63
22964,3 piece spaceboy cookie cutter set,5472.6900000000005
22904,calendar paper cut design,5467.26
22297,heart ivory trellis small,5459.91
23135,small zinc heart wall organiser,5416.18
22827,rustic  seventeen drawer sideboard,5415.0
23205,charlotte bag vintage alphabet,5405.88
22584,pack of 6 pannetone gift boxes,5398.33
22845,vintage cream cat food container,5396.93
22349,dog bowl chasing ball design,5381.5199999999995
23494,vintage doily deluxe sewing kit,5354.01
21172,party metal sign,5338.63
22998,travel card wallet keep calm,5262.82
22296,heart ivory trellis large,5247.72
22120,welcome  wooden block letters,5247.09
22623,box of vintage jigsaw blocks,5236.31
22848,bread bin diner style pink,5208.45
22665,recipe box blue sketchbook design,5192.08
22781,gumball magazine rack,5191.01
22689,doormat merry christmas red,5176.25
21844,red retrospot mug,5167.6900000000005
21428,set3 book box green gingham flower,5163.63
21164,home sweet home metal sign,5155.9800000000005
22898,childrens apron apples design,5150.92
23263,set of 3 wooden heart decorations,5147.19
23162,regency tea strainer,5143.6900000000005
23157,set of 6 nativity magnets,5143.06
23165,large ceramic top storage jar,5141.0599999999995
23132,small ivory heart wall organiser,5138.6
22302,coffee mug pears  design,5134.29
37449,ceramic cake stand + hanging cakes,5117.29
22772,pink drawer knob acrylic edwardian,5116.7
22595,gingham heart decoration,5114.41
23397,foot stool home sweet home,5097.65
23234,biscuit tin vintage christmas,5079.78
21098,christmas toilet roll,5078.76
23295,set of 12 mini loaf baking cases,5073.45
22371,airline bag vintage tokyo 78,5072.32
23198,pantry magnetic  shopping list,5062.599999999999
23126,feltcraft girl amelie kit,5059.14
22780,light garland butterfiles pink,5044.34
21907,i'm on holiday metal sign,5027.18
22957,set 3 paper vintage chick paper egg,5014.650000000001
23314,vintage christmas tablecloth,5012.96
82001s,vinyl record frame silver,5010.69
22636,childs breakfast set circus parade,5009.56
23109,pack of six led tea lights,5008.26
22271,feltcraft doll rosie,5007.35
21756,bath building block word,5006.26
23310,bubblegum ring assorted,4997.28
21932,scandinavian paisley picnic bag,4995.38
23543,wall art keep calm,4994.790000000001
22301,coffee mug cat + bird design,4980.83
22849,bread bin diner style mint,4967.929999999999
21933,pink vintage paisley picnic bag,4957.43
22142,christmas craft white fairy,4946.19
23556,landmark frame covent garden,4937.01
84212,"assorted flower colour ""leis""",4934.87
23570,traditional pick up sticks game,4931.87
22110,bird house hot water bottle,4912.14
21937,strawberry   picnic bag,4898.85
22748,poppy's playhouse kitchen,4880.83
23010,circus parade baby gift set,4879.599999999999
23351,roll wrap 50's christmas,4875.65
21124,set/10 blue polkadot party candles,4863.05
23503,playing cards keep calm & carry on,4860.55
21033,jumbo bag charlie and lola toys,4851.73
21086,set/6 red spotty paper cups,4851.5
21390,filigris heart with butterfly,4848.13
21876,pottering mug,4825.36
23554,landmark frame oxford street,4805.53
22549,picture dominoes,4798.38
23555,landmark frame notting hill,4780.57
15056p,edwardian parasol pink,4767.400000000001
23184,bull dog bottle opener,4764.5
84050,pink heart shape egg frying pan,4753.53
22243,5 hook hanger red magic toadstool,4751.639999999999
23286,blue vintage spot beaker,4747.62
20677,pink polkadot bowl,4747.34
21539,red retrospot butter dish,4743.900000000001
20979,36 pencils tube red retrospot,4723.7300000000005
23569,tradtional alphabet stamp set,4717.66
23159,set of 5 pancake day magnets,4713.52
22645,ceramic heart fairy cake money bank,4709.74
23558,landmark frame london bridge,4703.87
23389,spaceboy mini backpack,4697.54
23176,abc treasure book box,4693.08
82552,washroom metal sign,4674.83
22504,cabin bag vintage retrospot,4674.62
22721,set of 3 cake tins sketchbook,4671.81
23241,treasure tin gymkhana design,4669.55
22082,ribbon reel stripes design,4661.88
22745,poppy's playhouse bedroom,4661.79
85049a,traditional christmas ribbons,4655.2
47599a,pink party bags,4649.5
22606,wooden skittles garden set,4638.46
22628,picnic boxes set of 3 retrospot,4620.91
22295,heart filigree dove large,4613.97
21833,camouflage led torch,4594.43
23285,pink vintage spot beaker,4572.41
22417,pack of 60 spaceboy cake cases,4563.24
23404,home sweet home blackboard,4561.76
82551,laundry 15c metal sign,4542.889999999999
20974,12 pencils small tube skull,4527.43
23275,set of 3 hanging owls ollie beak,4521.72
23163,regency sugar tongs,4515.22
23112,parisienne curio cabinet,4507.08
84997c,blue 3 piece polkadot cutlery set,4504.5
23309,set of 60 i love london cake cases,4495.849999999999
22938,cupcake lace paper set 6,4488.63
21934,skull shoulder bag,4480.28
23167,small ceramic top storage jar,4476.01
84987,set of 36 teatime paper doilies,4471.17
21906,pharmacie first aid tin,4470.8099999999995
22775,purple drawerknob acrylic edwardian,4469.37
22942,christmas lights 10 santas,4460.54
22089,paper bunting vintage paisley,4457.43
23288,green vintage spot beaker,4444.2300000000005
23530,wall art only one person,4406.57
22626,black kitchen scales,4401.860000000001
20975,12 pencils small tube red retrospot,4383.27
23349,roll wrap vintage christmas,4342.6
16014,small chinese style scissor,4335.76
84692,box of 24 cocktail parasols,4327.38
22899,children's apron dolly girl,4326.43
21892,traditional wooden catch cup game,4317.16
21498,red retrospot wrap,4311.92
23168,classic cafe sugar dispenser,4311.35
22327,round snack boxes set of 4 skulls,4304.25
23050,recycled acapulco mat green,4286.55
22723,set of 6 herb tins sketchbook,4262.820000000001
22694,wicker star,4251.72
20970,pink floral feltcraft shoulder bag,4232.13
22061,large cake stand  hanging strawbery,4218.0599999999995
23089,glass bon bon jar,4215.78
22661,charlotte bag dolly girl design,4214.95
22801,antique glass pedestal bowl,4203.89
23144,zinc t-light holder stars small,4197.83
23012,glass apothecary bottle perfume,4197.110000000001
22550,holiday fun ludo,4194.89
84509a,set of 4 english rose placemats,4193.12
22813,pack 3 boxes bird pannetone,4188.94
20682,red retrospot childrens umbrella,4171.33
23110,parisienne key cabinet,4147.18
23486,antique heart shelf unit,4145.47
72760b,vintage cream 3 basket cake stand,4145.389999999999
85049e,scandinavian reds ribbons,4144.32
21874,gin and tonic mug,4141.179999999999
22649,strawberry fairy cake teapot,4132.88
23283,doormat vintage leaf,4122.2
22596,christmas star wish list chalkboard,4110.42
22841,round cake tin vintage green,4101.77
23255,childrens cutlery circus parade,4097.22
23009,i love london baby gift set,4082.52
23193,buffalo bill treasure book box,4079.28
22577,wooden heart christmas scandinavian,4075.3599999999997
22489,pack of 12 traditional crayons,4072.13
21116,owl doorstop,4051.79
21704,bag 250g swirly marbles,4039.2799999999997
23340,vintage christmas cake frill,4034.08
22219,lovebird hanging decoration white,4033.73
72351b,set/6 pink  butterfly t-lights,4007.8500000000004
23129,heart shaped holly wreath,3999.5
22431,watering can blue elephant,3998.7099999999996
22951,60 cake cases dolly girl design,3990.2
22493,paint your own canvas set,3986.64
23306,set of 36 doilies pantry design,3983.6
22956,36 foil heart cake cases,3983.3900000000003
20675,blue polkadot bowl,3983.12
84792,enchanted bird coathanger 5 hook,3974.32
22274,feltcraft doll emily,3953.4800000000005
22890,novelty biscuits cake stand 3 tier,3939.87
23526,wall art dog licence,3939.76
22131,food container set 3 love heart,3936.5899999999997
23557,landmark frame baker street,3930.27
22148,easter craft 4 chicks,3917.45
22980,pantry scrubbing brush,3910.01
22179,set 10 night owl lights,3908.73
23081,green metal box army supplies,3906.25
21928,jumbo bag scandinavian paisley,3904.72
23049,recycled acapulco mat red,3896.84
22117,metal sign her dinner is served,3896.4500000000003
21041,red retrospot oven glove double,3888.98
23552,bicycle puncture repair kit,3881.91
22222,cake plate lovebird white,3880.2
21749,large red retrospot windmill,3877.09
22578,wooden star christmas scandinavian,3876.5399999999995
21716,boys vintage tin seaside bucket,3872.92
23111,parisienne sewing box,3839.2400000000002
37370,retro coffee mugs assorted,3839.0099999999998
22896,peg bag apples design,3833.36
22738,ribbon reel snowy village,3829.67
22842,biscuit tin vintage red,3823.21
22350,illustrated cat bowl,3822.12
21110,large cake towel pink spots,3815.7
23194,gymkhana treasure book box,3815.5299999999997
21244,blue polkadot plate,3789.3199999999997
22383,lunch bag suki  design,3786.91
23253,16 piece cutlery set pantry design,3785.06
22809,set of 6 t-lights santa,3781.2000000000003
21746,small red retrospot windmill,3766.93
23299,food cover with beads set 2,3761.63
23092,large antique white photo frame,3757.78
21527,red retrospot traditional teapot,3724.9900000000002
21260,first aid tin,3722.23
22195,large heart measuring spoons,3720.66
23064,cinderella chandelier,3717.56
21658,glass  beurre dish,3709.78
22854,cream sweetheart egg holder,3708.52
23236,storage tin vintage doily,3704.78
22212,four hook  white lovebirds,3700.94
23182,toilet sign occupied or vacant,3688.21
22656,vintage blue kitchen cabinet,3685.0
21531,red retrospot sugar jam bowl,3682.17
23130,mistletoe heart wreath green,3676.18
23013,glass apothecary bottle tonic,3674.1600000000003
21890,s/6 wooden skittles in cotton bag,3674.11
22926,ivory giant garden thermometer,3656.8500000000004
85053,french enamel candleholder,3649.4900000000002
22378,wall tidy retrospot,3638.5699999999997
22468,babushka lights string of 10,3633.17
22466,fairy tale cottage nightlight,3626.45
22236,cake stand 3 tier magic garden,3624.5999999999995
23294,set of 6 snack loaf baking cases,3607.81
22053,empire design rosette,3606.42
23032,drawer knob crackle glaze ivory,3595.38
85132c,charlie and lola figures tins,3587.19
84968c,set of 16 vintage pistachio cutlery,3585.99
22348,tea bag plate red retrospot,3583.29
23085,antique silver bauble lamp,3583.23
71477,coloured glass star t-light holder,3580.96
23497,classic chrome bicycle bell,3578.62
21494,rotating leaves t-light holder,3571.33
22908,pack of 20 napkins red apples,3569.58
20717,strawberry shopper bag,3561.98
22800,antique tall swirlglass trinket pot,3560.74
22669,red baby bunting,3559.0
22739,ribbon reel christmas sock bauble,3556.97
23210,white rocking horse hand painted,3551.53
