scientific_name,park_name,observations,category,common_names,conservation_status,is_protected
Chasmanthium latifolium,Yosemite National Park,152,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",No Intervention,False
Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80,Vascular Plant,Emersed Bur-Reed,No Intervention,False
Ribes rotundifolium,Yosemite National Park,147,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",No Intervention,False
Pachysandra procumbens,Yellowstone National Park,213,Vascular Plant,American Pachysandra,No Intervention,False
Helianthus annuus,Yellowstone National Park,265,Vascular Plant,Common Sunflower,No Intervention,False
Blarina brevicauda,Bryce National Park,77,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",No Intervention,False
Polygonum viviparum,Great Smoky Mountains National Park,107,Vascular Plant,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",No Intervention,False
Astragalus purshii var. purshii,Yosemite National Park,156,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",No Intervention,False
Orthocarpus luteus,Great Smoky Mountains National Park,47,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",No Intervention,False
Liparis loeselii,Yosemite National Park,157,Vascular Plant,"Fen Orchid, Fen Orchis",No Intervention,False
Cornus canadensis,Bryce National Park,89,Vascular Plant,"Bunchberry Dogwood, Canadian Bunchberry",No Intervention,False
Arctostaphylos uva-ursi,Yosemite National Park,154,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",No Intervention,False
Isatis tinctoria,Yosemite National Park,127,Vascular Plant,Dyer's Woad,No Intervention,False
Eschscholzia hypecoides,Bryce National Park,106,Vascular Plant,San Benito Poppy,No Intervention,False
Tofieldia glabra,Great Smoky Mountains National Park,75,Vascular Plant,"Smooth Bog-Asphodel, Smooth Tofieldia",Species of Concern,True
Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,White-Tailed Deer,No Intervention,False
Galium pilosum var. puncticulosum,Bryce National Park,137,Vascular Plant,Hairy Bedstraw,No Intervention,False
Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244,Vascular Plant,Common Twinpod,No Intervention,False
Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63,Reptile,Common Garter Snake,No Intervention,False
Krigia montana,Yellowstone National Park,214,Vascular Plant,"False Dandelion, Mountain Krigia",No Intervention,False
Puma concolor,Bryce National Park,92,Mammal,Panther (Mountain Lion),No Intervention,False
Sphaeralcea coccinea,Bryce National Park,108,Vascular Plant,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",No Intervention,False
Hypentelium nigricans,Great Smoky Mountains National Park,54,Fish,Northern Hog Sucker,No Intervention,False
Cryptantha affinis,Bryce National Park,105,Vascular Plant,"Common Cryptantha, Quill Cryptantha",No Intervention,False
Pellaea atropurpurea,Bryce National Park,115,Vascular Plant,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",No Intervention,False
Platanus occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,Sycamore,No Intervention,False
Plantago rugelii,Yellowstone National Park,223,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",No Intervention,False
Lewisia nevadensis,Bryce National Park,82,Vascular Plant,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",No Intervention,False
Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90,Vascular Plant,"Ballhead Sandwort, Loosehead Sandwort",No Intervention,False
Calystegia sepium,Yellowstone National Park,218,Vascular Plant,Hedge Bindweed,No Intervention,False
Carex backii,Great Smoky Mountains National Park,58,Vascular Plant,"Back's Sedge, Rocky Mountain Sedge",No Intervention,False
Betula nigra,Bryce National Park,106,Vascular Plant,River Birch,No Intervention,False
Quercus,Bryce National Park,59,Vascular Plant,Oak,No Intervention,False
Spiraea prunifolia,Great Smoky Mountains National Park,48,Vascular Plant,"Bridal-Wreath, Spiraea",No Intervention,False
Andropogon glomeratus,Bryce National Park,65,Vascular Plant,"Bushy Bluestem, Marsh Broomsedge",No Intervention,False
Didymodon fallax var. reflexus,Yellowstone National Park,208,Nonvascular Plant,Didymodon Moss,No Intervention,False
Rhynchospora alba,Bryce National Park,88,Vascular Plant,White Beaksedge,No Intervention,False
Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species of Concern,True
Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,Longtail Salamander,No Intervention,False
Scleria oligantha,Great Smoky Mountains National Park,70,Vascular Plant,"Little-Headed Nutrush, Nut-Rush",No Intervention,False
Orthotrichum stellatum,Great Smoky Mountains National Park,71,Nonvascular Plant,Stellate Orthotrichum Moss,No Intervention,False
Rhododendron maximum,Bryce National Park,100,Vascular Plant,"Great Laurel, Rosebay Rhododendron",No Intervention,False
Morus alba,Great Smoky Mountains National Park,49,Vascular Plant,White Mulberry,No Intervention,False
Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77,Vascular Plant,"Bunchberry Elder, Red Elderberry",No Intervention,False
Nemacladus interior,Bryce National Park,100,Vascular Plant,Sierra Threadplant,No Intervention,False
Sphagnum subsecundum,Great Smoky Mountains National Park,73,Nonvascular Plant,Sphagnum,No Intervention,False
Euphagus cyanocephalus,Bryce National Park,79,Bird,Brewer's Blackbird,No Intervention,False
Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",No Intervention,False
Crotalaria sagittalis,Bryce National Park,56,Vascular Plant,Arrowhead Rattlebox,No Intervention,False
Erechtites hieracifolia,Yosemite National Park,134,Vascular Plant,Burnweed,No Intervention,False
Scrophularia marilandica,Bryce National Park,89,Vascular Plant,"Carpenter's Square Figwort, Figwort",No Intervention,False
Viola blanda var. blanda,Great Smoky Mountains National Park,108,Vascular Plant,Sweet White Violet,No Intervention,False
Hordeum murinum ssp. murinum,Yosemite National Park,115,Vascular Plant,Wall Barley,No Intervention,False
Calcarius lapponicus,Bryce National Park,91,Bird,Lapland Longspur,No Intervention,False
Agrostis mertensii,Yosemite National Park,135,Vascular Plant,Northern Agrostis,No Intervention,False
Seiurus aurocapilla,Bryce National Park,86,Bird,Ovenbird,No Intervention,False
Chelone lyonii,Yellowstone National Park,244,Vascular Plant,Pink Turtlehead,No Intervention,False
Viburnum edule,Yosemite National Park,136,Vascular Plant,Squashberry,No Intervention,False
Platanthera obtusata,Great Smoky Mountains National Park,116,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",No Intervention,False
Pseudacris maculata,Bryce National Park,109,Amphibian,Boreal Chorus Frog,No Intervention,False
Chasmanthium sessiliflorum,Yellowstone National Park,257,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",No Intervention,False
Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Tapered Rosette Grass,Species of Concern,True
Osmorhiza berteroi,Yellowstone National Park,263,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",No Intervention,False
Hackelia nervosa,Yosemite National Park,168,Vascular Plant,"Sierra Stickseed, Sierran Stickseed",No Intervention,False
Poa sylvestris,Bryce National Park,118,Vascular Plant,Woodland Bluegrass,No Intervention,False
Amorpha fruticosa,Yellowstone National Park,258,Vascular Plant,"False Indigo, False Indigo-Bush",No Intervention,False
Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Mayweed, Stinking Chamomile",No Intervention,False
Rumex obtusifolius,Great Smoky Mountains National Park,27,Vascular Plant,Bitter Dock,No Intervention,False
Clarkia rhomboidea,Great Smoky Mountains National Park,92,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",No Intervention,False
Berberis canadensis,Great Smoky Mountains National Park,74,Vascular Plant,American Barberry,No Intervention,False
Poa bolanderi,Yosemite National Park,135,Vascular Plant,Bolander's Bluegrass,No Intervention,False
Zonotrichia atricapilla,Bryce National Park,94,Bird,Golden-Crowned Sparrow,No Intervention,False
Pinus,Bryce National Park,94,Vascular Plant,Pine,No Intervention,False
Potentilla fruticosa,Bryce National Park,71,Vascular Plant,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",No Intervention,False
Melanerpes erythrocephalus,Great Smoky Mountains National Park,84,Bird,Red-Headed Woodpecker,No Intervention,False
Digitaria violascens,Yosemite National Park,132,Vascular Plant,Violet Crabgrass,No Intervention,False
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",No Intervention,False
Phacelia egena,Yellowstone National Park,282,Vascular Plant,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",No Intervention,False
Atrichum oerstedianum,Great Smoky Mountains National Park,74,Nonvascular Plant,Oersted's Atrichum Moss,No Intervention,False
Pinus lambertiana,Bryce National Park,116,Vascular Plant,"California Sugar Pine, Sugar Pine",No Intervention,False
Thalictrum alpinum,Bryce National Park,110,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",No Intervention,False
Jeffersonia diphylla,Yellowstone National Park,258,Vascular Plant,Twinleaf,No Intervention,False
Triosteum perfoliatum,Yellowstone National Park,257,Vascular Plant,Feverwort,No Intervention,False
Vaccinium parvifolium,Yellowstone National Park,253,Vascular Plant,Red Huckleberry,No Intervention,False
Sematophyllum demissum,Bryce National Park,109,Nonvascular Plant,Sematophyllum Moss,No Intervention,False
Phlox stolonifera,Yellowstone National Park,247,Vascular Plant,Creeping Phlox,No Intervention,False
Cryptantha muricata,Yellowstone National Park,267,Vascular Plant,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",No Intervention,False
Pseudoroegneria spicata,Yosemite National Park,156,Vascular Plant,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",No Intervention,False
Prosartes maculatum,Great Smoky Mountains National Park,105,Vascular Plant,Spotted Mandarin,No Intervention,False
Cuscuta compacta,Yosemite National Park,140,Vascular Plant,"Bracted Dodder, Sessile Dodder",No Intervention,False
Salix farriae,Bryce National Park,108,Vascular Plant,Farr's Willow,No Intervention,False
Coreopsis tripteris,Bryce National Park,86,Vascular Plant,Tall Tickseed,No Intervention,False
Vermivora celata,Yosemite National Park,106,Bird,Orange-Crowned Warbler,No Intervention,False
Malus angustifolia,Great Smoky Mountains National Park,71,Vascular Plant,"Narrowleaf Crabapple, Southern Crabapple",No Intervention,False
Cyanocitta stelleri,Yellowstone National Park,230,Bird,Steller's Jay,No Intervention,False
Platanthera dilatata var. dilatata,Yellowstone National Park,257,Vascular Plant,Scentbottle,No Intervention,False
Cheilanthes intertexta,Yosemite National Park,124,Vascular Plant,Coastal Lipfern,No Intervention,False
Carex lenticularis var. lipocarpa,Bryce National Park,112,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",No Intervention,False
Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",No Intervention,False
Juncus effusus var. solutus,Yosemite National Park,131,Vascular Plant,Lamp Rush,No Intervention,False
Thelypodium sagittatum,Yosemite National Park,164,Vascular Plant,"Arrow Thelypody, Slender Thelypody",No Intervention,False
Lychnis coronaria,Yellowstone National Park,260,Vascular Plant,Rose Campion,No Intervention,False
Carduelis tristis,Bryce National Park,110,Bird,American Goldfinch,No Intervention,False
Cicuta douglasii,Bryce National Park,119,Vascular Plant,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",No Intervention,False
Melanthium latifolium,Yosemite National Park,167,Vascular Plant,"Bunch-Flower, Hybrid Bunchflower",No Intervention,False
Lespedeza procumbens,Yellowstone National Park,233,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",No Intervention,False
Juncus ensifolius var. montanus,Bryce National Park,83,Vascular Plant,Rocky Mountain Rush,No Intervention,False
Osmorhiza depauperata,Great Smoky Mountains National Park,67,Vascular Plant,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",No Intervention,False
Cucumis melo,Bryce National Park,80,Vascular Plant,Canteloupe,No Intervention,False
Viola blanda var. blanda,Yellowstone National Park,245,Vascular Plant,Sweet White Violet,No Intervention,False
Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,No Intervention,False
Ajuga reptans,Great Smoky Mountains National Park,60,Vascular Plant,"Bugleweed, Carpet-Bugel",No Intervention,False
Ranunculus pusillus,Great Smoky Mountains National Park,82,Vascular Plant,"Aquatic Buttercup, Pursh Buttercup",No Intervention,False
Taraxacum ceratophorum,Yosemite National Park,151,Vascular Plant,"Common Dandelion, Woolbearing Dandelion",No Intervention,False
Oxytropis parryi,Great Smoky Mountains National Park,66,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",No Intervention,False
Cynosurus echinatus,Bryce National Park,75,Vascular Plant,Bristly Dogstail Grass,No Intervention,False
Platanthera stricta,Bryce National Park,76,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",No Intervention,False
Dodecatheon subalpinum,Yellowstone National Park,206,Vascular Plant,Sierra Shootingstar,No Intervention,False
Rumex paucifolius,Great Smoky Mountains National Park,86,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",No Intervention,False
Cyperus pseudovegetus,Bryce National Park,108,Vascular Plant,Marsh Flatsedge,No Intervention,False
Malus coronaria,Great Smoky Mountains National Park,75,Vascular Plant,Northern Crabapple,No Intervention,False
Nepeta cataria,Yosemite National Park,189,Vascular Plant,Catnip,No Intervention,False
Hieracium piloselloides,Bryce National Park,77,Vascular Plant,King Devil,No Intervention,False
Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,Small Panic Grass,No Intervention,False
Bidens aristosa,Bryce National Park,111,Vascular Plant,Stick-Tight,No Intervention,False
Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cultivated Rye, Rye",No Intervention,False
Rugelia nudicaulis,Yosemite National Park,120,Vascular Plant,Rugel's Ragwort,Species of Concern,True
Iva annua,Great Smoky Mountains National Park,70,Vascular Plant,Iva,No Intervention,False
Bromus suksdorfii,Yellowstone National Park,243,Vascular Plant,Suksdorf's Brome,No Intervention,False
Taenidia integerrima,Bryce National Park,114,Vascular Plant,"Yellow Pimpernel, Yellow Pimpernell",No Intervention,False
Symphyotrichum spathulatum,Bryce National Park,110,Vascular Plant,Western Mountain Aster,No Intervention,False
Heterotheca villosa var. villosa,Yellowstone National Park,276,Vascular Plant,"Hairy False Goldenaster, Hairy False Golden-Aster",No Intervention,False
Pica hudsonia,Yellowstone National Park,239,Bird,"Black-Billed Magpie, Magpie",No Intervention,False
Viburnum lentago,Great Smoky Mountains National Park,74,Vascular Plant,"Nannyberry, Nanny-Berry",No Intervention,False
Saxifraga subapetala,Yellowstone National Park,265,Vascular Plant,Yellowstone Saxifrage,No Intervention,False
Helianthella quinquenervis,Yellowstone National Park,237,Vascular Plant,"Fivenerve Helianthella, Nodding Dwarf-Sunflower, Nodding Helianthella",No Intervention,False
Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29,Vascular Plant,Bracken Fern,No Intervention,False
Sturnus vulgaris,Yellowstone National Park,233,Bird,European Starling,No Intervention,False
Carex preslii,Great Smoky Mountains National Park,25,Vascular Plant,Presl's Sedge,No Intervention,False
Pellaea breweri,Great Smoky Mountains National Park,73,Vascular Plant,Brewer's Cliffbrake,No Intervention,False
Houstonia longifolia var. longifolia,Yellowstone National Park,254,Vascular Plant,Long-Leaved Bluets,No Intervention,False
Mustela erminea,Bryce National Park,118,Mammal,"Ermine, Short Tailed Weasel",No Intervention,False
Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,"American Pinesap, Pine-Sap",No Intervention,False
Pandion haliaetus,Yosemite National Park,134,Bird,Osprey,Species of Concern,True
Nandina domestica,Yellowstone National Park,220,Vascular Plant,"Heavenly Bamboo, Nandina",No Intervention,False
Aix sponsa,Yosemite National Park,152,Bird,Wood Duck,No Intervention,False
Iris missouriensis,Yosemite National Park,127,Vascular Plant,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Species of Concern,True
Rigiopappus leptocladus,Yellowstone National Park,266,Vascular Plant,Wireweed,No Intervention,False
Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Yellow Or Hop-Clover,No Intervention,False
Ericameria cuneata var. cuneata,Yosemite National Park,166,Vascular Plant,Cliff Goldenbush,No Intervention,False
Juncus marginatus,Great Smoky Mountains National Park,53,Vascular Plant,"Grassleaf Rush, Margined Rush",No Intervention,False
Carex jamesii,Great Smoky Mountains National Park,117,Vascular Plant,"James? Sedge, Nebraska Sedge",No Intervention,False
Carex gracillima,Yellowstone National Park,240,Vascular Plant,Graceful Sedge,No Intervention,False
Crotalus viridis viridis,Great Smoky Mountains National Park,55,Reptile,Prairie Rattlesnake,No Intervention,False
Penstemon procerus,Yellowstone National Park,215,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",No Intervention,False
Thaspium trifoliatum var. aureum,Yosemite National Park,125,Vascular Plant,"Purple Meadow-Parsnip, Yellow Meadow-Parsnip",No Intervention,False
Leucobryum glaucum,Bryce National Park,89,Nonvascular Plant,Leucobryum Moss,No Intervention,False
Empidonax difficilis,Yellowstone National Park,261,Bird,Pacific-Slope Flycatcher,No Intervention,False
Sonchus oleraceus,Bryce National Park,99,Vascular Plant,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",No Intervention,False
Stizostedion vitreum,Great Smoky Mountains National Park,108,Fish,Walleye,No Intervention,False
Heterocladium macounii,Great Smoky Mountains National Park,110,Nonvascular Plant,Macoun's Heterocladium Moss,No Intervention,False
Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing-Bet, Soapwort, Bouncing-Bet",No Intervention,False
Stizostedion canadense,Bryce National Park,76,Fish,Sauger,No Intervention,False
Riparia riparia,Yellowstone National Park,199,Bird,Bank Swallow,Species of Concern,True
Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",No Intervention,False
Setophaga dominica,Yosemite National Park,140,Bird,Yellow-Throated Warbler,No Intervention,False
Desmodium paniculatum var. paniculatum,Yellowstone National Park,206,Vascular Plant,Panicledleaf Ticktrefoil,No Intervention,False
Sayornis nigricans,Yosemite National Park,128,Bird,Black Phoebe,No Intervention,False
Logfia arvensis,Yosemite National Park,154,Vascular Plant,Field Cottonrose,No Intervention,False
Sambucus mexicana,Yellowstone National Park,232,Vascular Plant,Mexican Elder,No Intervention,False
Gratiola viscidula,Great Smoky Mountains National Park,107,Vascular Plant,Short's Hedgehyssop,No Intervention,False
Populus alba,Yellowstone National Park,251,Vascular Plant,"Silver Poplar, White Poplar",No Intervention,False
Galium obtusum,Yosemite National Park,114,Vascular Plant,"Blunt-Leaf Bedstraw, Blunt-Leaved Bedstraw",No Intervention,False
Rosa setigera,Yosemite National Park,135,Vascular Plant,Prairie Rose,No Intervention,False
Cercocarpus betuloides var. betuloides,Yellowstone National Park,269,Vascular Plant,Birch-Leaf Mountain-Mahogany,No Intervention,False
Opuntia fragilis,Great Smoky Mountains National Park,57,Vascular Plant,"Brittle Cactus, Brittle Pricklypear, Fragile Cactus, Jumping Cactus, Little Pricklypear",No Intervention,False
Smallanthus uvedalius,Bryce National Park,91,Vascular Plant,Hairy Leafcup,No Intervention,False
Silene stellata,Bryce National Park,98,Vascular Plant,"Starry Campion, Starry Catchfly",No Intervention,False
Richardsonius balteatus,Yosemite National Park,163,Fish,Redside Shiner,No Intervention,False
Panicum rigidulum var. elongatum,Bryce National Park,93,Vascular Plant,"Stalked-Fruit Panic Grass, Tall Flat Panic-Grass",No Intervention,False
Eriogonum prattenianum var. prattenianum,Yosemite National Park,143,Vascular Plant,Nevada City Buckwheat,No Intervention,False
Doellingeria infirma,Great Smoky Mountains National Park,68,Vascular Plant,Cornel-Leaf Whitetop,No Intervention,False
Agoseris aurantiaca,Yellowstone National Park,241,Vascular Plant,"Orange Agoseris, Orange-Flowered False-Dandelion",No Intervention,False
Verbena hastata,Yosemite National Park,122,Vascular Plant,"Blue Verbena, Blue Vervain, Simpler's-Joy, Swamp Verbena",No Intervention,False
Aster patens var. patens,Yellowstone National Park,230,Vascular Plant,Late Purple Aster,No Intervention,False
Elymus glaucus ssp. glaucus,Bryce National Park,70,Vascular Plant,"Blue Wild Rye, Blue Wildrye",No Intervention,False
Fleischmannia incarnata,Bryce National Park,96,Vascular Plant,Pink Thoroughwort,No Intervention,False
Sialia sialis,Great Smoky Mountains National Park,69,Bird,Eastern Bluebird,No Intervention,False
Scolochloa festucacea,Bryce National Park,97,Vascular Plant,"Common Rivergrass, Rivergrass",No Intervention,False
Elymus hystrix var. hystrix,Yosemite National Park,166,Vascular Plant,Eastern Bottlebrush Grass,No Intervention,False
Sarracenia purpurea,Yellowstone National Park,235,Vascular Plant,Purple Pitcherplant,No Intervention,False
Eriogonum ovalifolium var. nivale,Bryce National Park,149,Vascular Plant,Cushion Buckwheat,No Intervention,False
Sedum sarmentosum,Great Smoky Mountains National Park,56,Vascular Plant,"Stonecrop, Stringy Stonecrop",No Intervention,False
Brachydontium trichodes,Yosemite National Park,141,Nonvascular Plant,Peak Moss,No Intervention,False
Geranium dissectum,Great Smoky Mountains National Park,119,Vascular Plant,Cutleaf Geranium,No Intervention,False
Typha angustifolia,Bryce National Park,77,Vascular Plant,Narrowleaf Cattail,No Intervention,False
Prunus hortulana,Yosemite National Park,147,Vascular Plant,Hortulan Plum,No Intervention,False
