category,scientific_name,common_names,conservation_status,is_protected
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,No Intervention,False
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,True
Bird,Accipiter gentilis,Northern Goshawk,No Intervention,False
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,True
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern,True
Bird,Buteo jamaicensis,Red-Tailed Hawk,No Intervention,False
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern,True
Bird,Buteo platypterus,Broad-Winged Hawk,No Intervention,False
Bird,Circus cyaneus,Northern Harrier,Species of Concern,True
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern,True
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery,True
Bird,Ictinia mississippiensis,Mississippi Kite,No Intervention,False
Bird,Cathartes aura,Turkey Vulture,Species of Concern,True
Bird,Coragyps atratus,Black Vulture,No Intervention,False
Bird,Pandion haliaetus,Osprey,Species of Concern,True
Bird,Aix sponsa,Wood Duck,No Intervention,False
Bird,Anas acuta,Northern Pintail,No Intervention,False
Bird,Anas americana,American Wigeon,No Intervention,False
Bird,Anas clypeata,Northern Shoveler,No Intervention,False
Bird,Anas crecca,Green-Winged Teal,No Intervention,False
Bird,Anas discors,Blue-Winged Teal,No Intervention,False
Bird,Anas platyrhynchos,Mallard,No Intervention,False
Bird,Anas rubripes,American Black Duck,No Intervention,False
Bird,Aythya affinis,Lesser Scaup,Species of Concern,True
Bird,Aythya americana,Redhead,No Intervention,False
Bird,Aythya collaris,Ring-Necked Duck,No Intervention,False
Bird,Branta bernicla,Brant,No Intervention,False
Bird,Branta canadensis,Canada Goose,No Intervention,False
Bird,Bucephala albeola,Bufflehead,No Intervention,False
Bird,Bucephala clangula,Common Goldeneye,No Intervention,False
Bird,Chen caerulescens,Snow Goose,No Intervention,False
Bird,Histrionicus histrionicus,Harlequin Duck,No Intervention,False
Bird,Lophodytes cucullatus,Hooded Merganser,No Intervention,False
Bird,Melanitta deglandi,White-Winged Scoter,No Intervention,False
Bird,Melanitta fusca,White-Winged Scoter,No Intervention,False
Bird,Melanitta nigra,Black Scoter,No Intervention,False
Bird,Mergus merganser,Common Merganser,No Intervention,False
Bird,Mergus serrator,Red-Breasted Merganser,No Intervention,False
Bird,Oxyura jamaicensis,Ruddy Duck,No Intervention,False
Bird,Chaetura pelagica,Chimney Swift,No Intervention,False
Bird,Archilochus colubris,Ruby-Throated Hummingbird,No Intervention,False
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,No Intervention,False
Bird,Caprimulgus vociferus,Whip-Poor-Will,No Intervention,False
Bird,Chordeiles minor,Common Nighthawk,No Intervention,False
Bird,Charadrius semipalmatus,Semipalmated Plover,No Intervention,False
Bird,Charadrius vociferus,Killdeer,No Intervention,False
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",No Intervention,False
Bird,Chlidonias niger,Black Tern,Species of Concern,True
Bird,Larus argentatis,Herring Gull,No Intervention,False
Bird,Larus atricilla,Laughing Gull,Species of Concern,True
Bird,Larus delawarensis,Ring-Billed Gull,No Intervention,False
Bird,Larus philadelphia,Bonaparte's Gull,No Intervention,False
Bird,Sterna fuscata,Sooty Tern,No Intervention,False
Bird,Actitis macularia,Spotted Sandpiper,No Intervention,False
Bird,Calidris minutilla,Least Sandpiper,No Intervention,False
Bird,Calidris pusilla,Semipalmated Sandpiper,No Intervention,False
Bird,Catoptrophorus semipalmatus,Willet,No Intervention,False
Bird,Gallinago gallinago,Common Snipe,No Intervention,False
Bird,Limnodromus griseus,Short-Billed Dowitcher,No Intervention,False
Bird,Phalaropus fulicarius,Red Phalarope,No Intervention,False
Bird,Phalaropus lobatus,Red-Necked Phalarope,No Intervention,False
Bird,Philomachus pugnax,Ruff,No Intervention,False
Bird,Scolopax minor,American Woodcock,No Intervention,False
Bird,Tringa flavipes,Lesser Yellowlegs,No Intervention,False
Bird,Tringa melanoleuca,Greater Yellowlegs,No Intervention,False
Bird,Tringa solitaria,Solitary Sandpiper,No Intervention,False
Bird,Columba livia,Rock Dove,No Intervention,False
Bird,Ectopistes migratorius,Passenger Pigeon,No Intervention,False
Bird,Zenaida macroura,Mourning Dove,No Intervention,False
Bird,Ceryle alcyon,Belted Kingfisher,No Intervention,False
Bird,Ceryle torquata,Ringed Kingfisher,No Intervention,False
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,No Intervention,False
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern,True
Bird,Falco columbarius,Merlin,Species of Concern,True
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern,True
Bird,Falco sparverius,American Kestrel,No Intervention,False
Bird,Colinus virginianus,Northern Bobwhite,No Intervention,False
Bird,Alectoris chukar,Chukar,No Intervention,False
Bird,Bonasa umbellus,Ruffed Grouse,No Intervention,False
Bird,Meleagris gallopavo,Wild Turkey,No Intervention,False
Bird,Pavo cristatus,Peacock,No Intervention,False
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",No Intervention,False
Bird,Gavia immer,Common Loon,Species of Concern,True
Bird,Grus americana,Whooping Crane,Endangered,True
Bird,Grus canadensis,Sandhill Crane,No Intervention,False
Bird,Fulica americana,American Coot,No Intervention,False
Bird,Gallinula chloropus,Common Moorhen,No Intervention,False
Bird,Porzana carolina,Sora,No Intervention,False
Bird,Rallus elegans,King Rail,Species of Concern,True
Bird,Rallus limicola,Virginia Rail,No Intervention,False
Bird,Eremophila alpestris,Horned Lark,No Intervention,False
Bird,Bombycilla cedrorum,Cedar Waxwing,No Intervention,False
Bird,Calcarius ornatus,Chestnut-Collared Longspur,No Intervention,False
Bird,Plectrophenax nivalis,Snow Bunting,No Intervention,False
Bird,Cardinalis cardinalis,Northern Cardinal,No Intervention,False
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern,True
Bird,Passerina cyanea,Indigo Bunting,No Intervention,False
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,No Intervention,False
Bird,Piranga olivacea,Scarlet Tanager,No Intervention,False
Bird,Piranga rubra,Summer Tanager,Species of Concern,True
Bird,Spiza americana,Dickcissel,No Intervention,False
Bird,Certhia americana,Brown Creeper,Species of Concern,True
Bird,Certhia familiaris,Eurasian Treecreeper,No Intervention,False
Bird,Corvus brachyrhynchos,American Crow,No Intervention,False
Bird,Corvus corax,Common Raven,No Intervention,False
Bird,Cyanocitta cristata,Blue Jay,No Intervention,False
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern,True
Bird,Ammodramus henslowii,Henslow's Sparrow,No Intervention,False
Bird,Ammodramus leconteii,Le Conte's Sparrow,No Intervention,False
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern,True
Bird,Chondestes grammacus,Lark Sparrow,No Intervention,False
Bird,Junco hyemalis,Dark-Eyed Junco,No Intervention,False
Bird,Melospiza georgiana,Swamp Sparrow,No Intervention,False
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern,True
Bird,Melospiza melodia,Song Sparrow,No Intervention,False
Bird,Passerculus sandwichensis,Savannah Sparrow,No Intervention,False
Bird,Passerella iliaca,Fox Sparrow,No Intervention,False
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",No Intervention,False
Bird,Pooecetes gramineus,Vesper Sparrow,No Intervention,False
Bird,Spizella arborea,American Tree Sparrow,No Intervention,False
Bird,Spizella passerina,Chipping Sparrow,No Intervention,False
Bird,Spizella pusilla,Field Sparrow,No Intervention,False
Bird,Zonotrichia albicollis,White-Throated Sparrow,No Intervention,False
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,No Intervention,False
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,No Intervention,False
Bird,Carduelis flammea,Common Redpoll,No Intervention,False
Bird,Carduelis pinus,Pine Siskin,No Intervention,False
Bird,Carduelis tristis,American Goldfinch,No Intervention,False
Bird,Carpodacus mexicanus,House Finch,No Intervention,False
Bird,Carpodacus purpureus,Purple Finch,No Intervention,False
Bird,Coccothraustes vespertinus,Evening Grosbeak,No Intervention,False
Bird,Loxia curvirostra,Red Crossbill,Species of Concern,True
Bird,Loxia leucoptera,White-Winged Crossbill,No Intervention,False
Bird,Hirundo rustica,Barn Swallow,No Intervention,False
Bird,Petrochelidon pyrrhonota,Cliff Swallow,No Intervention,False
Bird,Progne subis,Purple Martin,Species of Concern,True
Bird,Riparia riparia,Bank Swallow,Species of Concern,True
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,No Intervention,False
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern,True
Bird,Agelaius phoeniceus,Red-Winged Blackbird,No Intervention,False
Bird,Dolichonyx oryzivorus,Bobolink,No Intervention,False
Bird,Euphagus carolinus,Rusty Blackbird,No Intervention,False
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",No Intervention,False
Bird,Icterus spurius,Orchard Oriole,No Intervention,False
Bird,Molothrus ater,Brown-Headed Cowbird,No Intervention,False
Bird,Quiscalus quiscula,Common Grackle,No Intervention,False
Bird,Sturnella magna,Eastern Meadowlark,No Intervention,False
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,No Intervention,False
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern,True
Bird,Dumetella carolinensis,Gray Catbird,No Intervention,False
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",No Intervention,False
Bird,Toxostoma rufum,Brown Thrasher,No Intervention,False
Bird,Anthus rubescens,Water Pipit,No Intervention,False
Bird,Anthus spinoletta,Water Pipit,No Intervention,False
Bird,Baeolophus bicolor,Tufted Titmouse,No Intervention,False
Bird,Poecile atricapillus,Black-Capped Chickadee,No Intervention,False
Bird,Poecile carolinensis,Carolina Chickadee,No Intervention,False
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,No Intervention,False
Bird,Dendroica castanea,Bay-Breasted Warbler,No Intervention,False
Bird,Dendroica cerulea,Cerulean Warbler,No Intervention,False
Bird,Dendroica coronata,Yellow-Rumped Warbler,No Intervention,False
Bird,Dendroica discolor,Prairie Warbler,No Intervention,False
Bird,Dendroica dominica,Yellow-Throated Warbler,No Intervention,False
Bird,Dendroica fusca,Blackburnian Warbler,No Intervention,False
Bird,Dendroica magnolia,Magnolia Warbler,No Intervention,False
Bird,Dendroica palmarum,Palm Warbler,No Intervention,False
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,No Intervention,False
Bird,Dendroica petechia,Yellow Warbler,No Intervention,False
Bird,Dendroica pinus,Pine Warbler,No Intervention,False
Bird,Dendroica striata,Blackpoll Warbler,No Intervention,False
Bird,Dendroica tigrina,Cape May Warbler,No Intervention,False
Bird,Dendroica virens,Black-Throated Green Warbler,No Intervention,False
Bird,Geothlypis trichas,Common Yellowthroat,No Intervention,False
Bird,Helmitheros vermivorus,Worm-Eating Warbler,No Intervention,False
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern,True
Bird,Limnothlypis swainsonii,Swainson's Warbler,No Intervention,False
Bird,Mniotilta varia,Black-And-White Warbler,No Intervention,False
Bird,Oporornis agilis,Connecticut Warbler,No Intervention,False
Bird,Oporornis formosus,Kentucky Warbler,No Intervention,False
Bird,Oporornis philadelphia,Mourning Warbler,No Intervention,False
Bird,Parula americana,Northern Parula,No Intervention,False
Bird,Protonotaria citrea,Prothonotary Warbler,No Intervention,False
Bird,Seiurus aurocapilla,Ovenbird,No Intervention,False
Bird,Seiurus motacilla,Louisiana Waterthrush,No Intervention,False
Bird,Seiurus noveboracensis,Northern Waterthrush,No Intervention,False
Bird,Setophaga ruticilla,American Redstart,No Intervention,False
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered,True
Bird,Vermivora celata,Orange-Crowned Warbler,No Intervention,False
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,No Intervention,False
Bird,Vermivora lawrencei,Lawrence's Warbler,No Intervention,False
Bird,Vermivora lawrencii,Lawrence's Warbler,No Intervention,False
Bird,Vermivora leucobronchialis,Brewster's Warbler,No Intervention,False
Bird,Vermivora peregrina,Tennessee Warbler,No Intervention,False
Bird,Vermivora pinus,Blue-Winged Warbler,No Intervention,False
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern,True
Bird,Wilsonia canadensis,Canada Warbler,No Intervention,False
Bird,Wilsonia citrina,Hooded Warbler,No Intervention,False
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern,True
Bird,Passer domesticus,House Sparrow,No Intervention,False
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,No Intervention,False
Bird,Regulus calendula,Ruby-Crowned Kinglet,No Intervention,False
Bird,Regulus satrapa,Golden-Crowned Kinglet,No Intervention,False
Bird,Sitta canadensis,Red-Breasted Nuthatch,No Intervention,False
Bird,Sitta carolinensis,White-Breasted Nuthatch,No Intervention,False
Bird,Sturnus vulgaris,European Starling,No Intervention,False
Bird,Cistothorus palustris,Marsh Wren,No Intervention,False
Bird,Cistothorus platensis,Sedge Wren,No Intervention,False
Bird,Thryomanes bewickii,Bewick's Wren,No Intervention,False
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern,True
Bird,Thryothorus ludovicianus,Carolina Wren,No Intervention,False
Bird,Troglodytes aedon,House Wren,No Intervention,False
Bird,Troglodytes troglodytes,Winter Wren,No Intervention,False
Bird,Catharus fuscescens,Veery,No Intervention,False
Bird,Catharus guttatus,Hermit Thrush,No Intervention,False
Bird,Catharus minimus,Gray-Cheeked Thrush,No Intervention,False
Bird,Catharus ustulatus,Swainson's Thrush,No Intervention,False
Bird,Hylocichla mustelina,Wood Thrush,No Intervention,False
Bird,Sialia sialis,Eastern Bluebird,No Intervention,False
Bird,Turdus migratorius,American Robin,No Intervention,False
Bird,Contopus borealis,Olive-Sided Flycatcher,No Intervention,False
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern,True
Bird,Contopus virens,Eastern Wood-Pewee,No Intervention,False
Bird,Empidonax alnorum,Alder Flycatcher,No Intervention,False
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,No Intervention,False
Bird,Empidonax minimus,Least Flycatcher,No Intervention,False
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern,True
Bird,Empidonax virescens,Acadian Flycatcher,No Intervention,False
Bird,Myiarchus crinitus,Great Crested Flycatcher,No Intervention,False
Bird,Sayornis phoebe,Eastern Phoebe,No Intervention,False
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,No Intervention,False
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,No Intervention,False
Bird,Tyrannus tyrannus,Eastern Kingbird,No Intervention,False
Bird,Tyrannus verticalis,Western Kingbird,No Intervention,False
Bird,Vireo flavifrons,Yellow-Throated Vireo,No Intervention,False
Bird,Vireo gilvus,Warbling Vireo,No Intervention,False
Bird,Vireo griseus,White-Eyed Vireo,No Intervention,False
Bird,Vireo olivaceus,Red-Eyed Vireo,No Intervention,False
Bird,Vireo philadelphicus,Philadelphia Vireo,No Intervention,False
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",No Intervention,False
Bird,Ardea alba,Great Egret,No Intervention,False
Bird,Ardea albus,Great Egret,No Intervention,False
Bird,Ardea herodias,Great Blue Heron,Species of Concern,True
Bird,Botaurus lentiginosus,American Bittern,Species of Concern,True
Bird,Butorides virescens,Green-Backed Heron,No Intervention,False
Bird,Egretta caerulea,Little Blue Heron,No Intervention,False
Bird,Ixobrychus exilis,Least Bittern,No Intervention,False
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,No Intervention,False
Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern,True
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern,True
Bird,Colaptes auratus,Northern Flicker,No Intervention,False
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern,True
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,No Intervention,False
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,No Intervention,False
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered,True
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern,True
Bird,Picoides villosus,Hairy Woodpecker,No Intervention,False
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern,True
Bird,Podiceps auritus,Horned Grebe,No Intervention,False
Bird,Podilymbus podiceps,Pied-Billed Grebe,No Intervention,False
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,No Intervention,False
Bird,Aegolius,Saw-Whet Owls,No Intervention,False
Bird,Aegolius acadicus,Northern Saw-Whet Owl,No Intervention,False
Bird,Asio flammeus,Short-Eared Owl,Species of Concern,True
Bird,Asio otus,Long-Eared Owl,Species of Concern,True
Bird,Bubo virginianus,Great Horned Owl,No Intervention,False
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",No Intervention,False
Bird,Otus asio,Eastern Screech-Owl,No Intervention,False
Bird,Strix varia,Barred Owl,No Intervention,False
Bird,Tyto alba,"Barn Owl, Common Barn-Owl",No Intervention,False
Bird,Tytonidae,Barn-Owls,No Intervention,False
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern,True
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,No Intervention,False
Reptile,Carphophis,"Worm Snakes, Wormsnakes",No Intervention,False
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,No Intervention,False
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,No Intervention,False
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,No Intervention,False
Reptile,Coluber constrictor constrictor,Northern Black Racer,No Intervention,False
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,No Intervention,False
Reptile,Elaphe guttata guttata,Corn Snake,No Intervention,False
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,No Intervention,False
Reptile,Heterodon platirhinos,Eastern Hognose Snake,No Intervention,False
Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",No Intervention,False
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,No Intervention,False
Reptile,Lampropeltis getula getula,Eastern Kingsnake,No Intervention,False
Reptile,Lampropeltis getula nigra,Black Kingsnake,No Intervention,False
Reptile,Lampropeltis triangulum elapsoides,Scarlet Kingsnake,No Intervention,False
Reptile,Lampropeltis triangulum triangulum,Eastern Milk Snake,No Intervention,False
Reptile,Nerodia erythrogaster,Plainbelly Water Snake,No Intervention,False
Reptile,Nerodia erythrogaster flavigaster,"Yellowbelly Water Snake, Yellowbelly Watersnake",No Intervention,False
Reptile,Nerodia sipedon sipedon,Northern Water Snake,No Intervention,False
Reptile,Opheodrys aestivus aestivus,Eastern Rough Green Snake,No Intervention,False
Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern,True
Reptile,Regina septemvittata,Queen Snake,Species of Concern,True
Reptile,Storeria dekayi dekayi,Northern Brown Snake,No Intervention,False
Reptile,Storeria dekayi wrightorum,Midland Brown Snake,No Intervention,False
Reptile,Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,No Intervention,False
Reptile,Tantilla coronata,Southeastern Crowned Snake,No Intervention,False
Reptile,Thamnophis sirtalis sirtalis,Common Garter Snake,No Intervention,False
Reptile,Virginia valeriae valeriae,Eastern Earth Snake,No Intervention,False
Reptile,Anolis carolinensis carolinensis,Northern Green Anole,No Intervention,False
Reptile,Sceloporus undulatus hyacinthinus,Northern Fence Lizard,No Intervention,False
Reptile,Eumeces anthracinus,Coal Skink,No Intervention,False
Reptile,Eumeces fasciatus,Five-Lined Skink,No Intervention,False
Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,No Intervention,False
Reptile,Eumeces laticeps,Broadhead Skink,No Intervention,False
Reptile,Scincella lateralis,Ground Skink,No Intervention,False
Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,No Intervention,False
Reptile,Agkistrodon contortrix mokasen,Northern Copperhead,No Intervention,False
Reptile,Crotalus horridus,Timber Rattlesnake,No Intervention,False
Reptile,Chelydra serpentina serpentina,Common Snapping Turtle,No Intervention,False
Reptile,Chrysemys picta marginata,Midland Painted Turtle,No Intervention,False
Reptile,Chrysemys picta picta,Eastern Painted Turtle,No Intervention,False
Reptile,Clemmys muhlenbergii,Bog Turtle,No Intervention,False
Reptile,Graptemys geographica,"Common Map Turtle, Map Turtle",No Intervention,False
Reptile,Graptemys ouachitensis,Ouachita Map Turtle,No Intervention,False
Reptile,Terrapene carolina carolina,Eastern Box Turtle,No Intervention,False
Reptile,Trachemys scripta,Slider,No Intervention,False
Reptile,Trachemys scripta troostii,Cumberland Slider,No Intervention,False
Reptile,Sternotherus minor peltifer,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",No Intervention,False
Reptile,Sternotherus odoratus,Common Musk Turtle,No Intervention,False
Reptile,Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",No Intervention,False
Amphibian,Bufo americanus americanus,Eastern American Toad,No Intervention,False
Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",No Intervention,False
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,No Intervention,False
