orderid,date,customer,product,quantity,unitprice,totalprice,currency,company,sales_usd,sales_eur,year,month
B011,2024-02-01,DataVision,Mouse,22,18.0,396.0,EUR,Beta,431.64000000000004,396.0,2024,2024-02
B012,2024-02-03,SmartCore,Headphones,12,42.0,504.0,EUR,Beta,549.36,504.0,2024,2024-02
B013,2024-02-06,EuroLogic,Mousepad,30,8.99,269.7,EUR,Beta,293.973,269.7,2024,2024-02
B014,2024-02-08,TechHaus,Webcam,11,41.0,451.0,EUR,Beta,491.59000000000003,451.0,2024,2024-02
B015,2024-02-11,DataVision,Keyboard,14,28.0,392.0,EUR,Beta,427.28000000000003,392.0,2024,2024-02
B016,2024-02-14,SmartCore,Monitor,4,155.0,620.0,EUR,Beta,675.8000000000001,620.0,2024,2024-02
B017,2024-02-16,EuroLogic,Usb Hub,20,13.5,270.0,EUR,Beta,294.3,270.0,2024,2024-02
B018,2024-02-19,TechHaus,Headphones,15,42.0,630.0,EUR,Beta,686.7,630.0,2024,2024-02
B019,2024-02-21,DataVision,Mouse,19,18.0,342.0,EUR,Beta,372.78000000000003,342.0,2024,2024-02
B020,2024-02-24,SmartCore,Keyboard,13,28.0,364.0,EUR,Beta,396.76000000000005,364.0,2024,2024-02
B021,2024-02-27,EuroLogic,Mousepad,28,8.99,251.72,EUR,Beta,274.3748,251.72,2024,2024-02
B022,2024-03-01,TechHaus,Webcam,16,41.0,656.0,EUR,Beta,715.0400000000001,656.0,2024,2024-03
B023,2024-03-04,DataVision,Monitor,5,155.0,775.0,EUR,Beta,844.7500000000001,775.0,2024,2024-03
B024,2024-03-06,SmartCore,Laptop Stand,11,32.0,352.0,EUR,Beta,383.68,352.0,2024,2024-03
B025,2024-03-09,EuroLogic,Mouse,17,18.0,306.0,EUR,Beta,333.54,306.0,2024,2024-03
B026,2024-03-11,TechHaus,Headphones,14,42.0,588.0,EUR,Beta,640.9200000000001,588.0,2024,2024-03
B027,2024-03-14,DataVision,Usb Hub,10,13.5,135.0,EUR,Beta,147.15,135.0,2024,2024-03
B028,2024-03-17,SmartCore,Keyboard,19,28.0,532.0,EUR,Beta,579.88,532.0,2024,2024-03
B029,2024-03-19,EuroLogic,Monitor,6,155.0,930.0,EUR,Beta,1013.7,930.0,2024,2024-03
B030,2024-03-22,TechHaus,Mousepad,35,8.99,314.65,EUR,Beta,342.9685,314.65,2024,2024-03
